Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
-,-,likkle1,GB,1311.03,-3.96,1444.92,0.0,44.63,1.32,240,0.0,104,0.0,136,0.0,0,0.0,43.33,0.0,2024-04-04,-,0,-
-,-,Cruul,-,1310.89,-3.16,1465.37,0.0,51.49,1.05,228,0.0,109,0.0,116,0.0,3,0.0,47.81,0.0,2022-06-05,-,0,-
-,-,bzburnin,-,1310.78,-5.44,1410.68,0.0,33.3,1.81,1086,0.0,430,0.0,638,0.0,18,0.0,39.59,0.0,2025-05-13,G,6,707.0
-,-,pororo2,-,1310.49,-2.81,1488.26,0.0,59.26,0.94,112,0.0,60,0.0,52,0.0,0,0.0,53.57,0.0,2021-12-05,-,0,-
-,-,Essios,-,1310.41,-2.14,1543.97,0.0,77.85,0.71,54,0.0,24,0.0,29,0.0,1,0.0,44.44,0.0,2021-03-02,-,0,-
-,-,Ayakonutty,-,1310.29,-3.32,1458.98,0.0,49.56,1.11,88,0.0,42,0.0,46,0.0,0,0.0,47.73,0.0,2025-05-25,-,0,780.0
-,-,Khashir,-,1309.2,-1.98,1558.62,0.0,83.14,0.66,36,0.0,23,0.0,13,0.0,0,0.0,63.89,0.0,2021-09-05,-,0,-
-,-,Abby1991,-,1309.17,-2.48,1507.03,0.0,65.95,0.83,64,0.0,32,0.0,30,0.0,2,0.0,50.0,0.0,2022-05-29,-,0,-
1014,-42,luckrider,DE,1308.82,0.49,1385.92,2.77,25.7,0.76,596,23.0,243,12.0,345,10.0,8,1.0,40.77,0.46,2026-08-21,-,0,432.0
1015,unretired,marcusesses1,CA,1308.79,-5.45,1424.44,-6.21,38.55,-0.25,310,9.0,140,3.0,168,6.0,2,0.0,45.16,-0.35,2026-07-30,-,0,1184.0
-,-,raymebeats,-,1308.77,-1.68,1601.27,0.0,97.5,0.56,18,0.0,15,0.0,3,0.0,0,0.0,83.33,0.0,2024-03-03,-,0,-
1016,new,Rudiz,-,1308.59,858.59,1726.19,226.19,139.2,139.2,6,6.0,5,5.0,1,1.0,0,0.0,83.33,83.33,2026-08-11,-,0,-
-,-,Menno,-,1308.53,-4.24,1434.11,0.0,41.86,1.41,333,0.0,142,0.0,188,0.0,3,0.0,42.64,0.0,2024-07-01,G,2,-
-,-,Valec,-,1308.47,-3.51,1449.74,0.0,47.09,1.17,131,0.0,62,0.0,69,0.0,0,0.0,47.33,0.0,2024-10-31,-,0,-
1017,-57,Brickmarck,-,1308.36,-5.39,1406.23,0.0,32.62,1.8,252,0.0,103,0.0,147,0.0,2,0.0,40.87,0.0,2026-04-17,-,0,1067.0
1018,-41,Andreyko2003,-,1308.31,2.63,1405.7,0.03,32.46,-0.87,219,19.0,87,8.0,130,11.0,2,0.0,39.73,0.23,2026-08-11,-,0,661.0
-,-,onerija,-,1307.93,-1.97,1559.7,0.0,83.92,0.66,36,0.0,23,0.0,13,0.0,0,0.0,63.89,0.0,2021-03-02,-,0,-
-,-,Pandaiga,-,1307.52,-1.7,1596.29,0.0,96.26,0.57,36,0.0,21,0.0,15,0.0,0,0.0,58.33,0.0,2018-10-14,-,0,-
1019,-37,Mitchum,IT,1307.2,4.84,1375.24,6.99,22.68,0.72,604,37.0,246,22.0,356,15.0,2,0.0,40.73,1.22,2026-08-15,-,0,491.0
-,-,fli_pao,-,1307.06,-4.39,1420.06,0.0,37.67,1.46,324,0.0,147,0.0,175,0.0,2,0.0,45.37,0.0,2025-05-14,-,0,716.0
-,-,Ado,-,1306.7,-3.9,1464.26,0.0,52.52,1.3,272,0.0,126,0.0,144,0.0,2,0.0,46.32,0.0,2024-08-22,G,2,1245.0
-,-,Scar_702,-,1306.56,-1.74,1587.59,0.0,93.68,0.58,18,0.0,12,0.0,6,0.0,0,0.0,66.67,0.0,2024-06-02,-,0,-
